role_family,metric,eligible_players,non_null_players,coverage_rate,mean,std,coefficient_of_variation,variance,bootstrap_mean_ci_low,bootstrap_mean_ci_high,split_half_reliability,split_half_players,excluded_from_initial_models,exclusion_reasons
GK,identity_account_id,12,12,1.0,10371.0,0.0,0.0,0.0,10371.0,10371.0,,4,True,near_zero_variance
GK,identity_competition_id,12,12,1.0,1229.0,0.0,0.0,0.0,1229.0,1229.0,,0,True,near_zero_variance
GK,identity_country_id,12,12,1.0,153.16666666666666,2.886751345948128,0.018847125218377333,8.33333333333333,151.5,154.0,,0,False,
GK,identity_player_height,12,9,0.75,190.11111111111111,4.456580652373646,0.02344197888449025,19.861111111111114,187.55555555555554,193.11111111111111,,0,False,
GK,identity_player_id,12,12,1.0,256288.41666666666,174924.91181514965,0.68253147797413,30598724773.53788,162558.70208333334,349914.89791666664,0.9999999999999999,4,False,
GK,identity_player_weight,12,7,0.5833333333333334,79.42857142857143,10.982670331893225,0.13827102935836794,120.61904761904763,72.70714285714286,87.21785714285714,,0,False,
GK,identity_season_id,12,12,1.0,318.0,0.0,0.0,0.0,318.0,318.0,,0,True,near_zero_variance
GK,identity_team_id,12,12,1.0,12026.0,13028.962283383054,1.0833994913839227,169753858.1818182,4893.622916666667,19383.370833333327,1.0,4,False,
GK,360_minutes,12,12,1.0,0.0,0.0,,0.0,0.0,0.0,,4,True,near_zero_variance
GK,90s_played,12,12,1.0,20.428595833333333,4.389278625623408,0.2148595361831685,19.265766853354513,18.16746850625,22.877254260416663,,0,False,
GK,aerial_ratio,12,0,0.0,,,,,,,,0,True,coverage_lt_40pct;near_zero_variance
GK,aerial_wins_90,12,12,1.0,0.0,0.0,,0.0,0.0,0.0,,0,True,near_zero_variance
GK,aggressive_actions_90,12,12,1.0,0.0679134205,0.07400235733846532,1.0896573430352445,0.005476348891649912,0.03135362714583334,0.10822828083333333,,0,False,
GK,appearances,12,12,1.0,18.416666666666668,3.848455022552045,0.2089658835774866,14.810606060606062,16.416666666666668,20.583333333333332,,0,True,highly_correlated_ge_0_90
GK,assists_90,12,12,1.0,0.0033960983333333333,0.011764429721666636,3.4641016151377544,0.0001384018066760333,0.0,0.010188295,,0,True,high_coefficient_of_variation
GK,average_minutes,12,12,1.0,99.69321925000001,1.418423752228773,0.014227885937475862,2.011925940886752,98.913781075,100.43168020208334,,0,False,
GK,average_x_defensive_action,12,12,1.0,3.0457015999999997,0.4564982193826409,0.1498827788587828,0.20839062429952177,2.8100772849999998,3.2961317549999998,,0,False,
GK,average_x_pass,12,12,1.0,11.994072416666668,1.00426713959995,0.08373028815504274,1.0085524876802656,11.46209626875,12.556037589583333,,0,True,highly_correlated_ge_0_90
